Supplier name 1,Supplier name 2,Similarity score
INTERNATIONAL PAPER,PIRA INTERNATIONAL,86
INTERNATIONAL PAPER,ORB INTERNATIONAL,83
INTERNATIONAL PAPER,SUN PARKS INTERNATIONAL,81
INTERNATIONAL PAPER,NOVA INTERNATIONAL,81
GENIX IMAGING LTD,GENIX IMAGING LIMITED,89
GENIX IMAGING LTD,GENIX IMAGING,87
DPD GERMANY GMBH & CO. KG,DPD GERMANY WEST GMBH & CO. KG,90
DUTCH HOUSING CENTRE B.V.,DUTCH HOUSING CENTRE BV,94
DUTCH HOUSING CENTRE B.V.,DUTCH HOUSING CENTR,88
ELECTROSONIC LTD,ELECTRIC LTD,86
CLIFFORD CHANCE,CLIFFORD CHANCE LTD.,88
CLIFFORD CHANCE,CLIFFORD CHANCE PÜNDER,83
GAK NEDERLAND BV,HERAS NEDERLAND BV,82
GAK NEDERLAND BV,CANAL+ NEDERLAND BV,82
HRM SOFTWARE,PRAGMA SOFTWARE,81
FEDEX FEDERAL EXPRESS,FEDERAL EXPRESS,83
ROSIE LEHNER,ROSIE LEE,86
STANDAARD BOEKHANDEL NV,STANDAARD BOEKHANDEL,93
LOGICA CMG ENTERPRISE SOLUTIONS,GEAC ENTERPRISE SOLUTIONS,82
"CARITJ PRAT GRUP, S.L.","CARITJ PRAT GRUP, S.L.I.R.M.",87
A & R SPORTS,ALL:SPORTS,80
BUNGALOWPARK DE EGELSHOEK BV,"EGELSHOEK BUNGALOWPARK, DE",94
CENTROTECMAN S.R.L.,INTERTECMAN S.R.L.,86
KAROL MARKETING LIMITED,FUSE MARKETING LIMITED,80
CERRAJERIA COMAS S.A.,"CERRAJERIA COMAS, S.A.",100
PG PUBLICATIONS,EDM PUBLICATIONS,84
PG PUBLICATIONS,EDM PUBLICATION,80
SEPRIC MANAGEMENT,FX MANAGEMENT SERVICES,82
"FRANCESC ROS FUSTERIA DECORACIO, S.",FRANCESC ROS FUSTERIA DECORACIO,97
GRAND HOTEL & THEATER GOOILAND,BEST WESTERN GRAND HOTEL GOOILAND,82
TENPIN LIMITED,TENON LIMITED,89
KOCIAN SOLC BALASTIK,KOLCIAN SOLC BALASTIK,98
ADT FIRE & SECURITY,ADT FIRE AND SECURITY PLC,81
TELEFOONGIDS MEDIA,TELEFOONGIDS MEDIA BV,92
CONNEXXION TOURS,CONNEXXIONTOURS,97
BUMA VERENIGING,"BUMA, VERENIGING",100
GOMEZ ACEBO ABOGADOS,"GOMEZ-ACEBO & POMBO, ABOGADOS, S.C.",80
DELTA NEDERLAND B.V,MIELE NEDERLAND B.V,84
